Date,Sessions,Bounce Rate,Conversion Rate,Traffic Source,Campaign
4/1/2025,246,0.564768854,0.080460597,Paid Search,Spring Sale
4/2/2025,474,0.657921282,0.065348695,Referral,Spring Sale
4/3/2025,524,0.453658231,0.040685405,Social Media,Spring Sale
4/4/2025,487,0.327508217,0.038754249,Paid Search,Spring Sale
4/5/2025,507,0.409197592,0.021753926,Referral,Spring Sale
4/6/2025,497,0.50675282,0.021505036,Direct,Spring Sale
4/7/2025,506,0.384900642,0.05751396,Direct,Spring Sale
4/8/2025,487,0.439829339,0.087045564,Direct,Spring Sale
4/9/2025,470,0.582254491,0.025583127,Paid Search,Spring Sale
4/10/2025,487,0.367181395,0.053937225,Social Media,Spring Sale
4/11/2025,545,0.573846658,0.053427366,Direct,Spring Sale
4/12/2025,464,0.488435172,0.043977926,Paid Search,Spring Sale
4/13/2025,493,0.453936123,0.071142445,Organic Search,Spring Sale
4/14/2025,485,0.532408397,0.042298354,Referral,Spring Sale
4/15/2025,1038,0.603099952,0.068625602,Organic Search,Spring Sale
4/16/2025,519,0.416078248,0.043815752,Paid Search,Spring Sale
4/17/2025,528,0.452082576,0.04628682,Paid Search,Spring Sale
4/18/2025,487,0.581252582,0.077124801,Direct,Spring Sale
4/19/2025,532,0.536163603,0.037097605,Social Media,Spring Sale
4/20/2025,518,0.496417396,0.081292873,Direct,Spring Sale
4/21/2025,501,0.508704707,0.044019853,Paid Search,Spring Sale
4/22/2025,488,0.478032811,0.057142251,Social Media,Spring Sale
4/23/2025,494,0.41915064,0.039964859,Social Media,Spring Sale
4/24/2025,541,0.591540212,0.056575022,Social Media,Spring Sale
4/25/2025,522,0.509707755,0.0693729,Referral,Spring Sale
4/26/2025,488,0.460789185,0.020729701,Paid Search,Spring Sale
4/27/2025,523,0.500511346,0.045308257,Organic Search,Spring Sale
4/28/2025,495,0.465728548,0.033954455,Organic Search,Spring Sale
4/29/2025,547,0.68861859,0.053491556,Direct,Spring Sale
4/30/2025,491,0.308122878,0.049469722,Referral,Spring Sale
5/1/2025,242,0.506023021,0.099264842,Referral,Spring Sale
